job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,Posted_as_on_22_5_2022
Front End Engineer - SE - III,Walmart,4.2,(10484 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"As a member of the CSIS- Design team, is looking for an expert Front end Developer with...","iOS
Grunt
ElasticSearch
Vue
Git
UI
API Gateways management
Android",30+ DAYS AGO
Specialist - Product Engineering (Java),L&T Infotech (LTI),3.9,(3296 Reviews),5-9 Yrs,Not disclosed,Remote,"Requirement gathering & understanding, effort estimation, technical design, project pla...","Spring configuration
Agile
Debugging
REST API
Spring integration
Spring boot
Java
Services",30+ DAYS AGO
Hiring For JAVA Microservices Developer & TECH LEAD || Birlasoft,Birlasoft,3.8,(1127 Reviews),3-8 Yrs,Not disclosed,"Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas)",Technical Skills: 3-10 years of development experience with Java Web / Enterprise proje...,"JDBC
presentation
J2EE
Spring Cloud
Java
ORM
JPA
Hibernate",9 DAYS AGO
Senior Productologist,Engineer.ai - Everyones Engineering Team,4.1,(4 Reviews),3-6 Yrs,Not disclosed,Gurgaon/Gurugram,He / she should be capable of taking on different challenges and making things possible...,"Assembly line
Business Analyst
Machine learning
Project planning
Business modeling
Engineering Design
Customer experience
Budgeting",30+ DAYS AGO
Lead Data Engineer / Senior Data Engineer,Zenon Analytics Private Limited,5,(4 Reviews),5-9 Yrs,Not disclosed,"Noida, New Delhi",Lead Data Engineer / Sr. Data Engineer Experience: 6+ YearsSummary:The Lead Data Engine...,"python
data engineering
data modeling
Azure
sql queries
airflow
pyspark
ETL Tool",26 DAYS AGO
Engineer/sr. Engineer - Dotnet Fullstack,Olam Information Services Pvt Ltd,4.1,(485 Reviews),3-3 Yrs,Not disclosed,"Chennai, Chennai",Experience in designing and developing .NET Web Applications using the latest technolog...,"IT Skills
Testing
.Net
Angular 9
.Net Core
Web API
MySQL
Entity Framework",9 DAYS AGO
Z Cloud Developer,IBM,4.2,(13331 Reviews),5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"You need to have good skills in the areas of software defined networking such as VLAN, ...","Team operations
Cloud computing
Networking
Linux
Project management
Routing
NFV
debugging",9 DAYS AGO
Z Cloud Developer,IBM,4.2,(13331 Reviews),5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Your Role and Responsibilities Understand and integrate new technologies such as Softwa...,"github
Automation
Linux
Networking
Project management
IT Skills
Cloud
BPO",9 DAYS AGO
Storage Developers,IBM,4.2,(13331 Reviews),3-8 Yrs,Not disclosed,Pune,"In the role of Sr. Storage Developer, you would be responsible for Designing and develo...","VMware
Networking
Linux
SAS
Virtualization
IT Skills
Java
Python",9 DAYS AGO
Operating System Developer,IBM,4.2,(13331 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,3 years of relevant experience in UNIX / Linux Operating system development with specia...,"Unix
Interpersonal skills
Networking
Linux
Solaris
communication
debugging
HP UX",9 DAYS AGO
Senior Engineer For Rhapsody,IBM,4.2,(13331 Reviews),10-15 Yrs,Not disclosed,Ahmedabad,Your Role and Responsibilities Perform implementation of assigned projects using sound ...,"RTOS
Linux
UML
Eclipse
Javascript
MSVC
SysML
RestAPI",9 DAYS AGO
Application Developer: RPA,IBM,4.2,(13331 Reviews),3-6 Yrs,Not disclosed,Kolkata,"As an Application Developer, you will lead IBM into the future by translating system re...","Automation
Architecture
Consulting
Agile
network architecture
UIPath
Blue Prism
RPA",9 DAYS AGO
Technical Content Developer,Vmware,4.3,(364 Reviews),2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Maintain good understanding of PSO design principles and methodologies Develop expertis...,"Product management
VMware
Networking
Agile
Marketing Professional
Wellness
professional services
Management",9 DAYS AGO
"Sr. Manager, SW Engineering - Hybrid Cloud Infra",Gigamon Inc.,4.3,(11 Reviews),4-9 Yrs,Not disclosed,Chennai,Management experience in fast-paced environments like start-ups is a plus 5+ years of h...,"C
Python
communication
IT Skills
Cloud
Product Management
Engineering management
Architecture",9 DAYS AGO
Sr . SW Engineer,VISA,4.2,(71 Reviews),4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Essential Functions Design, develop and maintain scalable, distributed, multi-threaded ...","Automation
Linux
MySQL
Debugging
Javascript
Agile
Workflow
Windows",9 DAYS AGO
Sr . SW Engineer,VISA,4.2,(71 Reviews),3-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Key Responsibilities Design, Code, document and implement new applications and as well ...","IT Skills
Java
Software Development
Testing
Oracle
Javascript
Hibernate
Automation",9 DAYS AGO
Senior Engineer (IT Infrastructure Db2 DBA),Colruyt IT Consultancy India Pvt. Ltd.,4.4,(81 Reviews),7-12 Yrs,Not disclosed,Hyderabad/Secunderabad,*desired standard = documentation should be functionally meaningful and timely) Overall...,"IT Skills
Software Development
DBA
Data dictionary
metadata
IDMS
Db2
IT infrastructure",9 DAYS AGO
Senior Manager - Engineering,Pasona,3.8,(10 Reviews),5-10 Yrs,Not disclosed,Coimbatore,"Bachelor s degree in Engineering with emphasis on Robotics and Controls preferred, not ...","IT Skills
Software Development
Testing
Sharepoint
Software testing
SAN
Risk assessment
SOC",9 DAYS AGO
Bigdata Developer,Impetus,3.9,(180 Reviews),7-12 Yrs,Not disclosed,"Noida, Indore, Gurgaon/Gurugram, Bangalore/Bengaluru","Hands-on experience on developing Data platform and its components (Data lake, On cloud...","Bigdata Technologies
IT Skills
Python
Cloud
Jenkins
AWS",9 DAYS AGO
Hiring For Senior Devops Engineer For Remote Poland,Luxoft,4.5,(161 Reviews),5-10 Yrs,"25,00,000 - 32,50,000 PA.","Pune, Bangalore/Bengaluru, Delhi / NCR","Experience in containerization or virtualization (Docker, Kubernetes, Openshift, QEUM, ...","CI/CD
Devops
Kubernetes",30+ DAYS AGO
Application Developer: Google Cloud Microservices,IBM,4.2,(13331 Reviews),10-12 Yrs,Not disclosed,Bangalore/Bengaluru,10 to 12 years of cloud platform experienceShould have good exposure in using APIs from...,"GCP
Cloud
Agile
Management
Performance monitoring
communication
APIs
IT Skills",10 DAYS AGO
SAP EWM Extended Warehouse Management Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Chennai,Technical Experience : Expertise in developing and implementing the client requirements...,"Business process
Consulting
Warehouse management
Management
System analysis
S / 4 HANA
sap ewm
Networking",10 DAYS AGO
Application Developer: AWS Cloud Microservices,IBM,4.2,(13331 Reviews),4-8 Yrs,Not disclosed,Pune,"As an Application Developer, you will lead IBM into the future by translating system re...","Automation
Configuration management
Network security
Application development
Python
communication
Elastic Chache
Kubernetes",10 DAYS AGO
Senior DotNet Engineer,Hexaware Technologies,3.7,(2520 Reviews),6-8 Yrs,Not disclosed,"Mumbai, Pune, Chennai",Experience working in a multi-team environmentExperience in C# and Web APIStrong MS SQL...,"Data Structures
ReactJs framework
object - oriented programming
architecture patterns
OOP
SaaS
Web API
multi - threading",10 DAYS AGO
Datastage developer with SQL @Any Location,Virtusa,3.8,(1647 Reviews),3-6 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",Notice period: Immediate joiner only Experience 3 to 7 years Datastage Development expe...,"SQL queries
Datawarehouse
Datastage Development
Datastage
SQL",11 DAYS AGO
Node.js Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Technical Experience : 1 Experience in working with AWS lambda2 Experience with AWS Cog...,"Business process
Web application development
Consulting
Architectural design
Javascript
RDS
REST APIs
Node js",11 DAYS AGO
"Senior DevOps Engineer (Terraform, Ansible, Chef), SAP SuccessFactors",SAP,4.4,(1117 Reviews),8-13 Yrs,Not disclosed,Bangalore/Bengaluru,SUMMARYSAP SuccessFactors is at the heart of how best-run businesses make the world run...,"DevOps
IT Skills
Python
Cloud
SAP
Orchestration
Terraform
Docker",11 DAYS AGO
Senior Data Engineer,Optum,4.1,(1596 Reviews),3-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"Good communication skills, articulate complex issues understandably and engagingly Good...","Big data technologies
IT Skills
Big Data
Azure
Use Cases
Hadoop
SCALA
Data Visualization",12 DAYS AGO
SAP EWM Extended Warehouse Management Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Chennai,Technical Experience : Must have experience of 5 years in SAP EWM Extended Warehouse Ma...,"Business process
sap ewm
Analytical
Consulting
Warehouse management
requirement gathering
SAP EWM Extended
written",12 DAYS AGO
Microsoft Windows Server Administration Application Developer,Accenture,4.1,(26567 Reviews),2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Educational Qualification : 15 years of full time education Technical Experience : a Ut...,"Business process
Automation
Consulting
Problem management
Monitoring
IT Skills
Cloud
operational support",12 DAYS AGO
SAP SCM APO Advanced Planning & Optimization Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Educational Qualification : 1 Minimum 15 years of full time education Professional Attr...,"Business process
Demand planning
SNP
Consulting
Monitoring
APO configuration
communication
Networking",12 DAYS AGO
SAP TM Transportation Management Application Developer,Accenture,4.1,(26567 Reviews),2-4 Yrs,Not disclosed,Mumbai,Key Responsibilities : iExperience in SAP Implementation or Support in SAP transportati...,"Business process
SAP implementation
Consulting
Scheduling
Monitoring
IT Skills
SAP
Networking",12 DAYS AGO
SAP SD Sales & Distribution Application Developer,Accenture,4.1,(26567 Reviews),6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Educational Qualification : 15 years of full time education Professional Attributes : 1...,"Business process
IDOCS
Contract management
Consulting
professional services
S4 Hana
communications
Management",12 DAYS AGO
SAP EWM Extended Warehouse Management Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"Key Responsibilities : 1 Design, build and configure applications to meet business proc...","Business process
sap ewm
Consulting
Client interaction
Warehouse management
IT Skills
SAP
SAP ECC",12 DAYS AGO
SAP QM Quality Management Application Developer,Accenture,4.1,(26567 Reviews),8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Educational Qualification : 15 Years of full time Education Professional Attributes : 1...,"Business process
Quality inspection
Consulting
SAP quality management
professional services
IT Skills
SAP
SAP QM",12 DAYS AGO
Program and Project Management Application Developer,Accenture,4.1,(26567 Reviews),8-10 Yrs,Not disclosed,Hyderabad/Secunderabad,"Project Role : Application Developer Project Role Description : Design, build and confi...","Business process
Project management
Consulting
Agile
Scrum
communications
IT Skills
BPO",12 DAYS AGO
Duck Creek Policy Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Mumbai,Professional Attributes : 1 Resource should have good communication skills 2 Resource s...,"Business process
Claims
Underwriting
Consulting
Billing
Analytical skills
Networking
professional services",12 DAYS AGO
Dell Boomi Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Professional Attributes : 1 Dedicated and Committed to project goals, Positive Attitude...","Business process
Application integration
Consulting
boomi
Agile
Communication
OOP
Dell Boomi",12 DAYS AGO
EPIC Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role : Application Developer Project Role Description : Design, build and confi...","Business process
Claims
Consulting
Billing
Design development
Communication
EMR clinical
Networking",12 DAYS AGO
IBM Portal Tools Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Technical Experience : Must have at least 1 year of experience in IBM Web Experience Fa...,"Business process
Analytical skills
Web technologies
Consulting
J2Ee
REST API
Java
IBM Web Experience",12 DAYS AGO
SAP ABAP Developer- Module Lead,Sopra Steria,4.2,(1016 Reviews),4-6 Yrs,"6,50,000 - 12,00,000 PA.","Noida, Chennai, Bangalore/Bengaluru",Ability to build good technical design based on functional specifications and have the ...,"SAP ABAP
ALV
debugging
Dialog Programming
SMARTFORMS
Core ABAP Programming
OOPs
communication",12 DAYS AGO
SAP ABAP Developer- Module Lead,Sopra Steria,4.2,(1016 Reviews),4-6 Yrs,"6,50,000 - 12,00,000 PA.","Noida, Chennai, Bangalore/Bengaluru",Ability to build good technical design based on functional specifications and have the ...,"SAP ABAP
ALV
debugging
Dialog Programming
SMARTFORMS
Core ABAP Programming
OOPs
communication",12 DAYS AGO
ServiceNow IT Operations Management Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Professional Attributes : Good communication skills Ready to work in shifts Work Experi...,"Business process
data reporting
Technical design
IT operations management
Consulting
HR
Management
professional services",30+ DAYS AGO
IFS Solutions Functional Management Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Educational Qualification : 15 years of full time education Technical Experience : 1 Th...,"Business process
ERP
Supply chain management
Consulting
IFS
Analytical
communication
Analytical skills",12 DAYS AGO
Application Developer: RPA,IBM,4.2,(13331 Reviews),3-6 Yrs,Not disclosed,Bengaluru/Bangalore,"IntroductionAs an Application Developer, you will lead IBM into the future by translati...","RPA
BluePrism
Automation Anywhere
UIPath
IT Skills
Automation
Translation
Architecture",13 DAYS AGO
Individual Developer,IBM,4.2,(13331 Reviews),5-8 Yrs,Not disclosed,Bengaluru/Bangalore,Good communication skills and be able to work effectively in a global team environmentR...,"GitHUB
CI / CD
Firmware development
Agile methodology
PCIe protocol
Object Oriented programming
Linux
communication",13 DAYS AGO
Java Developer,MOTHERSONSUMI INFOTECH DESIGNS LIMITED,3.2,(255 Reviews),4-9 Yrs,Not disclosed,Noida,"Key Responsibilities :1. Java with experience in Spring MVC, Spring Boot, Angular .2. E...","spring boot
Java
jquery",13 DAYS AGO
Senior DevOps Engineer,VISA,4.2,(71 Reviews),5-7 Yrs,Not disclosed,Bangalore/Bengaluru,The Payment Systems Risk team is responsible for building critical risk and fraud preve...,"IT Skills
Java
Python
Software Development
Testing
Selenium
DevOps
Unix",12 DAYS AGO
Sr . SW Test Engineer,VISA,4.2,(71 Reviews),5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Applies experience and skills to solve testing challenges including but not limited to ...,"TSO
JCL
Data management
Db2
REXX
Cobol
Agile
MVS",12 DAYS AGO
Full Stack .NET Developer || Asp .NET + React JS,INNODATA INDIA PRIVATE LIMITED,3.9,(328 Reviews),4-8 Yrs,Not disclosed,Remote,Professional Skills: The Full stack developer will be responsible for developing and de...,".net
ASP.Net
react
SQL Server
Entity Framework
JQuery
Agile development
ASP net",12 DAYS AGO
Job Opening | Salesforce Developer | MNC,Iris Software,4.1,(241 Reviews),5-8 Yrs,"20,00,000 - 35,00,000 PA.","Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR","o Salesforce Admin, App Builder Certifiedo Experience with salesforce modules or apps s...","Service Cloud
Jenkins
VCS
BitBucket
Urban Code
Sales Cloud
Git
salesforce",12 DAYS AGO
Senior Engineer (JAVA),Nagarro,4.2,(887 Reviews),3-6 Yrs,Not disclosed,Remote,"Should have knowledge of Kafka, MongoDB, Elastic Search, Oracle, IAM - General Experien...","Java
Hibernate
Spring MVC
Java 8/Java 9
Angular 2/ Angular 4/ Angular 6/Angular 8
IT Skills
Testing
Cloud",12 DAYS AGO
Java Developer,MOTHERSONSUMI INFOTECH DESIGNS LIMITED,3.2,(255 Reviews),4-9 Yrs,Not disclosed,Noida,"Key Responsibilities :1. Java with experience in Spring MVC, Spring Boot, Angular .2. E...","spring boot
Web services
SVN
Angular
HTML
JavaScript
Postgress
Java EE",13 DAYS AGO
Immediate Joiner Required - Java Developer,Iris Software,4.1,(241 Reviews),6-11 Yrs,"15,00,000 - 22,50,000 PA.","Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Job Information Position- Sr. Java Developer Experience- 5-10 years Role- Permanent Man...,"Core Java
communication
JMS
Design Patterns
Spring Boot
spring
Multithreading
TDD",13 DAYS AGO
Sr Big Data Engineer,Wipro,3.9,(22691 Reviews),5-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","3+ years of experience with Cloud based DW such as Redshift, Snowflake etcBachelors or ...","Spark
big data
IT Skills
Java
Python
Testing
Cloud
Jenkins",13 DAYS AGO
Immediate Joiner Required - Java Developer,Iris Software,4.1,(241 Reviews),6-11 Yrs,"15,00,000 - 22,50,000 PA.","Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Job Information Position- Sr. Java Developer Experience- 5-10 years Role- Permanent Man...,"Core Java
communication
JMS
Design Patterns
Spring Boot
spring
Multithreading
TDD",13 DAYS AGO
Sr Big Data Engineer,Wipro,3.9,(22691 Reviews),5-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","3+ years of experience with Cloud based DW such as Redshift, Snowflake etcBachelors or ...","Spark
big data
IT Skills
Java
Python
Testing
Cloud
Jenkins",13 DAYS AGO
iOS Developers,Vallesoft,5,(3 Reviews),2-7 Yrs,Not disclosed,Delhi,iPhone mobile application developer with minimum of 3 - 4 applications developed and pu...,"iPhone
Object oriented design
development
c
code
technical
configuration
Eclipse",30+ DAYS AGO
Application Developer: AWS Cloud Microservices,IBM,4.2,(13331 Reviews),6-10 Yrs,Not disclosed,Hyderabad/Secunderabad,Minimum of 3 years of experience in working AWS MicroservicesMinimum 6 years of experie...,"Hibernate
Automation
RDBMS
Application development
SQL
Configuration management
Agile
Network security",13 DAYS AGO
Devops Developer,IBM,4.2,(13331 Reviews),5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Your Role and Responsibilities As a DevOps Developer, you will contribute to a thriving...","Cloud computing
Networking
devops
Cloud
Open source
IT Skills
Java
Big Data",13 DAYS AGO
Ruby on Rails Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Chennai,Professional Attributes : a: Resource should have good communication skills Technical E...,"Business process
Coding
Consulting
Deployment
professional services
Ruby on Rails
communication
Networking",13 DAYS AGO
Informatica PowerCenter Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Professional Attributes : 1: Must have good communication skill Key Responsibilities : ...,"Business process
Web technologies
Consulting
Informatica
professional services
communication
Informatica powercenter
Entity 360",13 DAYS AGO
Selenium Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Chennai,"Project Role : Application Developer Project Role Description : Design, build and confi...","Business process
Team management
Consulting
HTML
Selenium
BDD
Swagger
Networking",13 DAYS AGO
SAP For Utilities CRM Application Developer,Accenture,4.1,(26567 Reviews),2-4 Yrs,Not disclosed,Mumbai,"Project Role : Application Developer Project Role Description : Design, build and confi...","Business process
Test management
SAP CRM
Consulting
Billing
analytical
communication
Analytical skills",13 DAYS AGO
Java Standard Edition Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Must Have Skills : Java Standard Edition Technical Experience : 5years of Hands-on expe...,"Business process
Consulting
professional services
AWS
microservices
communication
Java Standard Edition
Java Full Stack Development",13 DAYS AGO
ASP.NET Application Developer,Accenture,4.1,(26567 Reviews),2-4 Yrs,Not disclosed,Chennai,Must Have Skills : ASP.NET Work Experience : 5-4 years Good To Have Skills : Sitecore,"Business process
sitecore
Consulting
ASP.Net
professional services
IT Skills
Networking
Cloud",13 DAYS AGO
SAP SCM APO Advanced Planning & Optimization Application Developer,Accenture,4.1,(26567 Reviews),4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Educational Qualification : Graduation Technical Experience : Must Have Skill: SAP APO ...,"Business process
SAP APO
Consulting
Problem management
Application development
IT Skills
SAP
Demand planning",13 DAYS AGO
Senior Engineering Manager,Microsoft,4.3,(667 Reviews),11-14 Yrs,Not disclosed,Hyderabad/Secunderabad,Responsibilities Be a great engineering leader for the team and broader organization. Y...,"debugging
Data Driven Engineering
Machine Learning
JavaScript
people management
HTML
CSS
Agile Development",13 DAYS AGO
dot net developer| Magic FinServ | Noida,Magic Finserv( A Unit of Magic Software),3.6,(6 Reviews),2-4 Yrs,Not disclosed,Delhi / NCR(Noida-Greater Noida Expressway),"Roles and Responsibilities Experience Level: 2-4 YearsKey Technologies: C#, .Net, SQL S...","ASP.Net
Cloud deployment
Restful services
stored procedure
RDBMS
performance tuning
Net
Micro Services",14 DAYS AGO
Camunda Developer,EY,3.8,(4933 Reviews),4-9 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Overall, 4-7 years of IT experience including 3+ experience on any BPM technology and m...","CI / CD
Java
REST
Oracle
GIT
SOAP
J2EE
Hibernate",14 DAYS AGO
Senior Server Engineer,SDG Corporation,4.5,(18 Reviews),4-8 Yrs,"5,00,000 - 13,00,000 PA.",Delhi / NCR,Work in 24x7 shift (4PM IST to 9 AM IST)Monitoring of security issues to environment an...,"o365
DLP
communication
IT Skills
Cloud
AWS
Exchange
Azure",30+ DAYS AGO
Senior DevOps / Cloud Engineer,ION,4.9,(6 Reviews),3-8 Yrs,Not disclosed,Noida,"Experience working with diverse, remote, and distributed teams across multiple regions ...","IT Skills
Java
Python
Cloud
DevOps
Jenkins
AWS
CVS",30+ DAYS AGO
Design Engineer II,Cadence Design Systems,4.4,(140 Reviews),3-7 Yrs,Not disclosed,Pune,Education: BE/ B Tech/ ME/ M Tech / MS Good track records of working on complex IP s So...,"Automation
formal verification
static timing analysis
Coding
SOC
Design Engineer II
Physical verification
Perl",3 DAYS AGO
System Engineer II,Cerner,3.9,(655 Reviews),2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"As a System Engineer II, you will be performing daily system operations tasks to verify...","SAN
Performance tuning
Consulting
Active directory
Windows
microsoft
Ruby
Python",3 DAYS AGO
Machine Learning Engineer,Virtusa,3.8,(1647 Reviews),4-9 Yrs,Not disclosed,Hyderabad/Secunderabad,"PhD / Masters/Bachelors in Computer Science, Computer Engineering, Statistics, Applied ...","machine learning
python
spark
statistics",3 DAYS AGO
Test Principal Engineer,Dell Technologies,4.2,(3302 Reviews),10-20 Yrs,Not disclosed,Bangalore/Bengaluru,Very good Server system architecture understanding and prior work experience as a lead ...,"BIOS development
embedded systems
PC architecture
IT Skills
Software Development
Testing
Intel processor architecture
application administration",30+ DAYS AGO
Professional 2 System Engineer,DXC Technology,3.8,(5855 Reviews),7-10 Yrs,Not disclosed,Chennai,"Good knowledge in performance tuning, database sizing, system support, security and doc...","communication
tuning
analytical
SMPE
z / OS
ITIL
DB2
Professional 2 System Engineer (51005833)",30+ DAYS AGO
Professional 2 System Engineer,DXC Technology,3.8,(5855 Reviews),7-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Expertise required in Mainframe System Automation tools i.e., IBM SA z/OS and CA OPS/MV...",Professional 2 System Engineer (51005833),30+ DAYS AGO
Professional 1 System Engineer,DXC Technology,3.8,(5855 Reviews),7-10 Yrs,Not disclosed,Chennai,Should be a team player with excellent communication and technical skillsGood knowledge...,"SMF
SYSPLEX
ISPF
analytical
JCL
CLIST
SDSF
TSO",30+ DAYS AGO
Professional 1 System Engineer,DXC Technology,3.8,(5855 Reviews),7-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Experience in problem determination, performance tuning, setting security and web enabl...","analytical
SMPE
CICS
ITIL
communication
Professional 1 System Engineer (51005832)",30+ DAYS AGO
IT QA Engineer - Ecommerce,Fastenal India Sourcing IT & Procurement Pvt Ltd,3.6,(13 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru(Bellandur),Job DescriptionFastenal India is looking for an IT QA Engineer. This individual will be...,"QA
Black box testing
SQL skill set
Project Development
REST API Testing
Manual Testing
Quality Assurance Engineering
Test Cases",30+ DAYS AGO
Principal Group Engineering Manager,Microsoft,4.3,(667 Reviews),16-19 Yrs,Not disclosed,Hyderabad/Secunderabad,Bachelor s Degree in Computer Science or equivalent experience15+ years of industry exp...,"cloud computing
enterprise computing
communication
software development
IT Skills
Cloud
Azure
Computer science",30+ DAYS AGO
IT System Engineer,Aeries Technology Group,4.2,(99 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Stratus Technologies is a leading, edge computing platform provider whose mission is to...","VMware
Automation
Shell scripting
Consulting
Active directory
Agile
HTTP
Windows",30+ DAYS AGO
Engineer-IT Infrastructure (Oracle DBA),Colruyt IT Consultancy India Pvt. Ltd.,4.4,(81 Reviews),7-12 Yrs,Not disclosed,Hyderabad/Secunderabad,Oracle Certified DB Professional (OCP) with more than 7 years experience with Oracle Da...,"Application Development
High Availability
Database Administration
Oracle Database
Technical Support
Third Party Products
Oracle Dba
System Administration",30+ DAYS AGO
"Manager, Solution Engineering",Duck Creek Technologies,4.7,(442 Reviews),4-8 Yrs,Not disclosed,Mumbai,Bachelors Degree in Computer Science or similar program or an additional 4 years work e...,"Computer science
Product management
IIS
metadata
RFX
Testing tools
XML
MS Office",30+ DAYS AGO
Member of Technical Staff - Performance Engineering,Vmware,4.3,(364 Reviews),6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Job Role Responsibility We are looking for passionate people with startup mindset who w...,"IT Skills
Java
Python
Cloud
VMware
System architecture
C++
Automation",30+ DAYS AGO
IT Service Engineer,Sumo Technologies Pvt Ltd,4.4,(7 Reviews),1-5 Yrs,Not disclosed,Bengaluru,Regular on time attendance history and shift flexibility to meet changing customer dema...,"Administration
C
Linux
Operating systems
LAN
Routing
HR
Windows",30+ DAYS AGO
4g/5g Test Automation Engineer,Mavenir,3.9,(154 Reviews),5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Member of system test team focused on testing Mavenir ORAN nodes. Build and execute aut...,"IT Skills
Python
Testing
Jenkins
None",4 DAYS AGO
Devops Engineer,Mavenir,3.9,(154 Reviews),5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Experience: 8 to 10 yearsWork Location-Bangalore Must have an experience working with C...,"Calico
OVN
communication
Vmware Tanzu
troubleshooting
Redhat
switches
SRIOV",4 DAYS AGO
vEPC System Test Engineer,Mavenir,3.9,(154 Reviews),2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Member of system test team focused on testing Mavenir virtualized EPC nodes. Creating t...,None,4 DAYS AGO
Lead Reliability Engineer,Opentext,3.9,(243 Reviews),4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Requires rotating shift work as neededEstablish and maintain a good relationship with t...,"Linux
IT Skills
Java
Python
Cloud
Product Management
Oracle
AWS",5 DAYS AGO
Opening For .AWS + Terraform Cloud Engineer -Bangalore-Pune,Xoriant,4.5,(845 Reviews),5-8 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru",AWS + Terraform Cloud EngineerExp 5 yearsLocation Bangalore/PuneNP- 15- 30 daysNote- Te...,"Terraform Cloud Engineer
AWS
IT Skills
Cloud
DevOps
AWS Terraform Cloud Engineer
Cloud Engineer
Complex IT Infrastructure Solution Design Implementation",5 DAYS AGO
Opportunity For Sr Cloud/DevOps Engineer (GCP),Searce Cosourcing Services Pvt Ltd,4.1,(73 Reviews),2-6 Yrs,Not disclosed,"Pune, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Roles and Responsibilities This position will manage the day-to-day DevOps aspects of m...,"kubernetes
GCP
Google Cloud Platforms
IT Skills
Java
Cloud
DevOps
Javascript",18 DAYS AGO
Senior Devops Engineer| Immediate Joiner| Pune,Synechron,4.1,(1220 Reviews),6-11 Yrs,Not disclosed,Bangalore/Bengaluru,DevOps Engineer should be coming from development background and able to read and analy...,"Gitlab
Maven
ELK monitoring
continuous automation
AppDynamics
Docker
EKS
kafka",9 DAYS AGO
